COND天气状况,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WDIR风向,WSC风力,WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
晴,-6.0,-5.8,1033,28,0.0,2,1,3.3,18.0,7.0,18.0,26.0,8.0,43.0,0.6
晴,-5.4,-5.6,1034,26,0.0,8,4,5.6,17.0,9.0,15.0,33.0,8.0,36.0,0.6
晴,-4.7,-4.4,1034,24,0.0,2,4,4.6,31.0,7.0,31.0,31.0,8.0,37.0,0.7
晴,-4.0,-3.7,1033,23,0.0,2,4,5.1,23.0,14.0,23.0,22.0,9.0,47.0,0.7
晴,-3.2,-2.5,1032,21,0.0,2,4,4.0,20.0,11.0,20.0,14.0,7.0,57.0,0.7
晴,-2.7,-1.9,1031,19,0.0,2,4,4.2,20.0,10.0,20.0,13.0,6.0,60.0,0.6
晴,-2.1,-0.9,1031,18,0.0,2,1,3.2,20.0,6.0,12.0,10.0,6.0,63.0,0.6
晴,-1.6,-0.5,1030,18,0.0,2,4,3.5,20.0,11.0,0.0,13.0,6.0,62.0,0.5
晴,-1.6,-0.2,1030,18,0.0,2,1,2.4,20.0,10.0,12.0,14.0,4.0,62.0,0.5
晴,-2.6,-1.4,1030,20,0.0,2,1,2.5,19.0,9.0,14.0,17.0,5.0,59.0,0.4
晴,-2.8,-1.5,1031,20,0.0,8,1,2.4,19.0,10.0,19.0,24.0,6.0,51.0,0.4
晴,-3.2,-2.2,1031,21,0.0,8,1,2.9,21.0,14.0,21.0,30.0,6.0,46.0,0.5
晴,-5.4,-5.2,1032,25,0.0,8,4,4.6,18.0,11.0,18.0,26.0,9.0,46.0,0.5
晴,-6.1,-5.8,1032,26,0.0,2,4,3.5,20.0,14.0,19.0,28.0,9.0,43.0,0.6
晴,-6.6,-6.2,1032,27,0.0,2,1,2.7,19.0,12.0,19.0,30.0,10.0,39.0,0.6
晴,-7.0,-6.5,1032,28,0.0,8,1,2.3,23.0,16.0,18.0,28.0,9.0,41.0,0.6
晴,-7.1,-7.3,1032,28,0.0,2,4,4.7,19.0,11.0,19.0,23.0,8.0,46.0,0.6
晴,-7.7,-7.4,1031,29,0.0,2,1,2.3,16.0,7.0,12.0,18.0,6.0,51.0,0.6
晴,-8.3,-7.9,1031,30,0.0,2,1,1.8,15.0,9.0,14.0,22.0,8.0,46.0,0.7
晴,-9.5,-9.8,1031,35,0.0,2,1,2.2,16.0,11.0,11.0,24.0,7.0,44.0,0.7
晴,-8.0,-8.3,1031,32,0.0,2,1,3.3,15.0,5.0,14.0,30.0,8.0,38.0,0.8
晴,-6.7,-6.4,1031,28,0.0,2,1,2.8,21.0,14.0,17.0,42.0,9.0,25.0,1.0
晴,-5.1,-4.3,1031,25,0.0,2,1,2.4,22.0,12.0,22.0,37.0,10.0,32.0,1.0
晴,-3.8,-3.0,1030,21,0.0,8,4,3.7,24.0,15.0,24.0,26.0,9.0,43.0,0.9
晴,-2.4,-1.4,1028,18,0.0,8,4,4.0,22.0,15.0,21.0,21.0,9.0,49.0,0.9
晴,-0.2,1.2,1025,15,0.0,8,1,3.2,20.0,12.0,20.0,13.0,6.0,60.0,0.8
晴,-1.7,-0.2,1025,16,0.0,8,1,2.6,23.0,14.0,23.0,15.0,5.0,60.0,0.5
晴,-2.3,-0.8,1025,17,0.0,8,1,2.4,24.0,10.0,24.0,19.0,5.0,56.0,0.5
晴,-3.1,-1.6,1025,19,0.0,8,1,2.0,22.0,9.0,22.0,23.0,4.0,52.0,0.5
晴,-4.2,-3.0,1025,26,0.0,1,1,1.2,32.0,19.0,32.0,53.0,11.0,19.0,0.8
晴,-3.9,-2.8,1024,22,0.0,2,1,2.3,26.0,17.0,26.0,48.0,11.0,21.0,0.7
晴,-4.4,-3.2,1023,22,0.0,2,1,2.0,25.0,16.0,24.0,50.0,11.0,18.0,0.8
晴,-4.5,-3.2,1023,21,0.0,8,1,2.0,29.0,15.0,29.0,43.0,9.0,24.0,0.7
晴,-4.0,-2.6,1023,19,0.0,8,1,2.2,27.0,14.0,27.0,43.0,7.0,25.0,0.7
晴,-4.1,-2.5,1022,19,0.0,8,1,1.7,18.0,9.0,18.0,36.0,6.0,30.0,0.5
晴,-6.0,-4.3,1022,23,0.0,6,1,0.7,18.0,8.0,18.0,32.0,5.0,31.0,0.5
